x,y,z,roll,pitch
126,-293,95,-72.04095,-22.2496
291,-221,0,-90.00663,-52.78903
0,-66,215,-17.06653,0.0
142,167,368,24.41055,-19.36192
88,-249,201,-51.0923,-15.37724
115,-229,296,-37.73006,-17.08282
28,-287,227,-51.6619,-4.376029
151,-168,173,-44.1632,-32.05584
189,-91,179,-26.94985,-43.26878
148,-170,61,-70.26599,-39.3352
78,146,61,67.32938,-26.24296
328,313,366,40.53976,-34.26064
135,108,166,33.05056,-34.28396
55,-187,317,-30.53883,-8.499884
3,-77,511,-8.569774,-0.3326402
12,77,383,11.3683,-1.759529
44,76,341,12.56531,-7.178693
6,92,302,16.94386,-1.088869
-11,79,214,20.26356,2.760927
35,93,316,16.40057,-6.065567
34,64,136,25.20298,-12.747
-36,124,406,16.9849,4.847607
-31,81,201,21.95032,8.141541
6,105,197,28.05946,-1.539708
5,111,511,12.25637,-0.5478716
45,9,193,2.670086,-13.11185
24,133,511,14.58999,-2.602633
38,52,340,8.696144,-6.304938
36,57,219,14.58999,-9.039734
-5,131,511,14.37976,0.5430866
-45,30,388,4.421615,6.596546
-30,11,43,14.35039,34.05762
17,143,511,15.63508,-1.835109
26,46,489,5.374369,-3.030406
65,17,69,13.84171,-42.45156
5,118,511,13.00376,-0.5462728
-33,37,339,6.229325,5.527735
-15,29,198,8.333174,4.287067
25,118,511,13.00376,-2.729381
31,63,311,11.45242,-5.580167
16,61,297,11.60727,-3.020948
3,100,362,15.44358,-0.4577089
-14,65,259,14.08932,3.001388
10,66,354,10.56179,-1.590816
25,75,298,14.12773,-4.65143
19,81,300,15.11069,-3.499186
1,82,333,13.83466,-0.1670805
-2,58,281,11.66326,0.3994034
12,76,317,13.48305,-2.10836
